"land";"stunden"
"Argentina";1691,5363
"Australia";1731,4943
"Austria";1613,0519
"Bangladesh";2232,3542
"Belgium";1544,269
"Brazil";1709,4856
"Bulgaria";1643,5475
"Cambodia";2455,5508
"Canada";1696,4624
"Chile";1974
"China";2174,3501
"Colombia";1997,748
"Costa Rica";2212,3835
"Croatia";1834,9327
"Cyprus";1783,5206
"Czech Republic";1776,162
"Denmark";1400,3815
"Ecuador";1701,3558
"Estonia";1856,6827
"Finland";1659,2806
"France";1514,1371
"Germany";1353,8868
"Greece";2016,8954
"Hong Kong";2185,5789
"Hungary";1937,3325
"Iceland";1493,3651
"India";2117,0117
"Indonesia";2024,287
"Ireland";1745,6843
"Israel";1920,6106
"Italy";1722,6113
"Japan";1738,3633
"Latvia";1874,5979
"Lithuania";1844,0171
"Luxembourg";1518,8575
"Malaysia";2238,2729
"Malta";2040,0317
"Mexico";2255
"Myanmar";2437,8633
"Netherlands";1430,0229
"New Zealand";1752
"Nigeria";1827,2401
"Norway";1417,4723
"Pakistan";2096,1443
"Peru";1932,4581
"Philippines";2148,5645
"Poland";2028,4952
"Portugal";1863,1744
"Romania";1805,9998
"Russia";1974
"Singapore";2237,7263
"Slovakia";1745,2307
"Slovenia";1655,089
"South Africa";2209,0916
"South Korea";2063,3315
"Spain";1686,4973
"Sri Lanka";1923,9354
"Sweden";1609,2896
"Switzerland";1589,6758
"Taiwan";1990,3212
"Thailand";2185,4456
"Turkey";1832
"United Kingdom";1670,2728
"United States";1757,2255
"Uruguay";1552,347
"Vietnam";2169,5916
